,text,Annotation
369,@NNdabbour64 And no one is entitled to a belief that denies other people their believes. http://t.co/pli8wePBsf,racism
370,"@NNdabbour64 No, I keep giving you proof and you ignore it.  Where is Islam's respect?  Go and read the pact of Umar.",racism
371,@NNdabbour64 Islam is the only religion that has large forces of religious police running around telling people what they must do.,racism
372,@NNdabbour64 It's not what I think. It's what I have already proven to you multiple times.,racism
373,@NNdabbour64 Even Muslims talk about forcing children to become Muslims. It's not a big secret. http://t.co/NonpBsJlHX,racism
374,@blastedsilver This is another clear expression of how Islam thinks of women being owned by men.,racism
375,@AlMonitor The stupidity of Jihadis who think that you only need guns to run a civil society.,racism
376,@NNdabbour64 The idea of going to a country where the female half are treated like slaves and leppers makes my skin crawl.,racism
377,@NNdabbour64 And I would never go near a country with blasphemy laws.,racism
378,@NNdabbour64 The same old lie about property rights.  But Arab women had those before Islam.,racism
379,RT @PeterTownsend7: #islam #isis Allah the Mutilator. Can you feel the 'peace' yet?  http://t.co/aF1qEjApdg http://t.co/UFW1z4dE60,racism
380,@KamelNasrEldien Islam is about as perfect as Nazism.,racism
381,@MaliniP Screw Francis.  Any Pope that will not stand up for freedom of speech should not be Pope.  Get rid of the clown.,racism
382,"@NNdabbour64 If you are just going to sit there and tell lie after lie, Muslim Taquiyya, this discussion is over. You are blocked.",racism
383,"@KamelNasrEldien True, no other ideology is as vile, murderous, backwards and stupid as Islam.",racism
384,@Hafisabidrees You animals are slitting throats and we are suppose to care that you are offended by cartoons. http://t.co/elEbZtioDk,racism
385,@GENUG @TheMuslimIssue Saudi Arabia - a nation of Islamolunatics hiding from the Islamolunatics they helped to create. #Islam,racism
386,"Gay man thrown off the rooftop by ISIS for being gay.  Despite what the radical left claims, this is the real #Islam. http://t.co/1YPpriD7pk",racism
387,@_Saracen_ @BOU_JASSIM That is because Islam is stuck in the seventh century.,racism
388,@waddup247 Because the Muslims are mostly just as crazy. http://t.co/wOc5ONv7Nh,racism
389,RT @peddoc63: @fernleex Muslims not killing are complicit by silence.Tolerance of intolerance is cowardice.Ali was maimed by Islam. http://…,racism
390,@essel1 I haven't seen Jews go on killing rampage against holocaust deniers. Violence is Islam's answer to everything http://t.co/VmKNWn1aW4,racism
391,RT @b_kisan: @TRobinsonNewEra Same country where conversion away from Islam is illegal.....one way street and a slow wiping out of non-Musl…,racism
392,@yuskan0723 @essel1 You mean hapless genocidal Palestinian Islamolunatics that are determined to erase Israel from the map?,racism
393,"RT @sudixitca: Some people work very hard to make this world a better place, while others work very hard to book a drink and sex party in t…",racism
394,"@yuskan0723 And of course the Palestinians are firing rockets at Israel without any regard for what they hit, including women and children.",racism
395,"@yuskan0723 International press couldn't even tell where the shells came from.  To hell with murdering Islamists, including Hamas.",racism
396,@yuskan0723 Here is what the scumbag Muslims do with children.  And then they use them for propaganda. http://t.co/JG5MeWh1ur,racism
397,@yuskan0723 Here is how Muslims treat non Muslims. So fuck the genocidal Palestinians. http://t.co/nRozNv2fH8,racism
398,@yuskan0723 Who manufactures all the rockets that the Palestinians fire at Israel? And who manufactures the terrorists Kalishnikovs?,racism
399,@yuskan0723 Here is a map of Israel inside all of the Muslim nations that want to destroy Israel and murder them. http://t.co/SRrWKSAQXI,racism
400,@yuskan0723 You can't get any sicker than the Muslim animals following the instructions of their pedophile prophet. http://t.co/oAqQJFf1Pb,racism
401,"@yuskan0723 Yes, all of the land the Muslims have they got by butchering the inhabitants. And they are depraved psychopaths.",racism
402,"@yuskan0723 Before the murdering prophet Mohammed came along to exterminate them, Jews lived on 40% of the Arabian Peninsula.",racism
403,"@yuskan0723 The Jews are the population that has been ethnically cleansed by the Muslims, microbrain. Find me some Jews in Saudi.",racism
404,@yuskan0723 The filthy Palestinians have attacked and murdered Jewish children in their schools in the past.  So fuck Palestinians.,racism
405,@yuskan0723 The prophet Mohammed was a caravan robber who declared war on all humanity. Hope the Jews recover their stolen land.,racism
406,"@ShamiAnalyst No one ask for your pedophile serving propaganda, swine.",racism
407,@fulaan_hazm So they have to imprison the people of Mosul and not allow them to leave. Islam is a religion of slaves and slavery.,racism
408,"Crucifixion, stoning, beheading, shooting, throwing off buildings - ISIS is an orgy if sadistic, gruesome methods of murder. #Islam #Daesh",racism
409,@Politics_PR @FoxNews Islamic no go zones are common knowledge except to idiots like you. http://t.co/dBRMAzGlyF,racism
410,@Khaula @aminawadud Karen Armstrong kisses the criminal Mohammed's ass so that she can sell books.,racism
411,@contrafactos LOL. It is common knowledge and there are countless reports about Muslim no go areas in Europe.  Just google it.,racism
412,"@gripusa Islam has contributed nothing to humanity but hatred, death, and destruction for a thousand years.",racism
413,@DavidHarvilicz @AFP More left wing scum caving in to the violence of Islam.,racism
414,"@AKasap07 Mullah Oktar is an anti Science, Kurd hating, Islamolunatic.",racism
415,@soofy_01 And by doing so she helped subject the world to 1400 years of terrorism.,racism
416,@Lithobolos @ZaibatsuNews I don't care what they retracted. The no go zones are there.  Here is an example. http://t.co/rQx75ZbBxv,racism
417,"@PoliticalAnt @Politics_PR @FoxNews Look at the data, dipwad, 1/3 think that people who leave Islam should be killed. http://t.co/MfTOt9ijtY",racism
418,"@PoliticalAnt Look at the data dipwad, 2/3 want sharia law, which denies all rights to women and non Muslims. http://t.co/7QupIMBaN7",racism
419,"@okieatheist @EWErickson Yeah, unlike the Muslims who are executing gays by throwing them off buildings.",racism
420,@okieatheist @EWErickson You babble like a moron while Muslims are throwing gays off buildings.,racism
421,@PoliticalAnt @Lithobolos @ZaibatsuNews No go zones are exactly acting to impose such microbrain.,racism
422,@PoliticalAnt @Lithobolos @ZaibatsuNews The prophet Mohammed declared war on all non Muslims 1400 years ago exactly to impose such.,racism
423,@PoliticalAnt @Lithobolos @ZaibatsuNews So you think you can hate all people of a certain ideaology - but not if it's Islam.,racism
424,@okieatheist @EWErickson The idea that no go zones are a right wing boogie man is stupid.  No go zones are real.,racism
425,"@PoliticalAnt @Lithobolos @ZaibatsuNews Eh, they all ostensible follow the ideology of Islam. Radicals follow closely, others less so.",racism
426,"@PoliticalAnt @Lithobolos @ZaibatsuNews All Muslims share an ideology that is spelled out as bigoted, sexist, imperialists, homophobic.",racism
427,@PoliticalAnt As would I.  But of course many Muslims live under theocracy. And where they are minorities they try to creep up to it.,racism
428,@PoliticalAnt @Lithobolos @ZaibatsuNews That should be true. But ISIS exists to follow the religion exactly.,racism
429,@PoliticalAnt @Lithobolos @ZaibatsuNews So ISIS beheads because their prophet beheaded . ISIS rapes slaves because their prophet raped them.,racism
430,@PoliticalAnt @Lithobolos @ZaibatsuNews But Sharia is very sexist and 2/3 of Muslims want it.,racism
431,@Lithobolos @PoliticalAnt @ZaibatsuNews So are you saying that the Quran is wrong with this piece of bigotry? http://t.co/oW2W2HPmYZ,racism
432,"@Lithobolos @PoliticalAnt @ZaibatsuNews But there are very few of those. On the other hand, 2/3 of Muslims want barbaric Sharia.",racism
433,@Lithobolos @PoliticalAnt @ZaibatsuNews And there is no Jihad and world domination in Judaism as there is in Islam.,racism
434,@Lithobolos @PoliticalAnt @ZaibatsuNews And your attitude is to let creeping Sharia and sexism into Muslim areas of the west.,racism
435,RT @PeterTownsend7: #muslim #ISIS #Islam No compulsion in religion. Unless you're a kid of course! http://t.co/Va3FBYF6Wp http://t.co/B0AJT…,racism
436,@Lithobolos @PoliticalAnt @ZaibatsuNews Nazis were not Christians.  Mohammed led 17 major military expeditions. Jesus led zero.,racism
437,@Lithobolos @PoliticalAnt @ZaibatsuNews So when are you going to admit that the Quran is wrong.  I'm waiting.,racism
438,@Lithobolos @PoliticalAnt @ZaibatsuNews The violence is always initiated by the Muslims. Mohammed started it. Proof. http://t.co/lyyEgGfAc7,racism
439,@Lithobolos @PoliticalAnt @ZaibatsuNews There should be no freedom to impose your religion on others. And that is what Islam is about.,racism
440,"@Lithobolos @PoliticalAnt @ZaibatsuNews Your mantra about ""a few"" is stupid.  This proves it. http://t.co/3KyD0zp8yK",racism
441,"@Lithobolos @PoliticalAnt @ZaibatsuNews It's not about any specific individuals, but about an ideaology that will always produce terrorists.",racism
442,@Lithobolos @PoliticalAnt @ZaibatsuNews ...Then suddenly their Muslim neighbors are persecuting them and stealing their property.,racism
443,@DecolonisedSoul Islam declared war on all humanity 1400 years ago.  It's time we recognize that and respond.,racism
444,@hansthecat But Islam hates free speech.,racism
445,@Ammaawah @jm111t That's only because they don't follow Islam.  Islam tells women to stay at home. http://t.co/UQLoWj1GjS,racism
446,"@Ammaawah @jm111t The Sunnah of the prophet is the basis for Sharia law, along with the Quran.  And the Quran is woman hating.",racism
447,"@Ammaawah @jm111t Women should have the same sexual rights as me, but Islam says they clearly don't.",racism
448,@Ammaawah @jm111t All you are doing with your verses is proving sexism in Islam.,racism
449,"@Ammaawah @jm111t Again, the woman must be obedient to the man, even if he is a fool and she is brilliant.  You are proving my point again.",racism
450,@Ammaawah @jm111t In a lot of Muslim countries saying that Mohammed is flawed is blasphemy that would get you beaten.,racism
451,@Ammaawah @jm111t You are following the religion of ignorance with an illiterate prophet and you want to talk about spelling? LOL.,racism
452,"ISIS in Mosul executed 13 people for watching soccer game.  Muslims will go crazy about a Mohammed cartoon, but won't protest murder. #Islam",racism
453,"@Zahoorgorsi Next step, learning to ride a bicycle, and then learning to ride a camel.",racism
454,"RT @ElConfeti: SSSSHHH!  The silent Muslim majority, remains quiet. http://t.co/y2YldDW8qt",racism
455,RT @Juliet777777: MUSLIMS Australia to form  Australian All-Muslim Army impose sharia law http://t.co/4PRVBxHEbV   #FFRNN #WAKINGUP @TedtBa…,racism
456,@hstapanghosh They will all have no skills except jihad.,racism
457,"RT @geoffellis186: @Juliet777777 A simple question: ask complaining Muslims why #sikhs #hindus, #Jews, #budhists etc can integrate &amp; live h…",racism
458,@FromCarl No they don't they share a commitment to the barbarity of their religion. http://t.co/kPJSe079Al,racism
459,@RudawEnglish Religion at gunpoint and allegiance at gun point.,racism
460,"The Shia and Sunni are back to killing each other in Yemen, as they have done everywhere for 1400 years.  The gift of #Islam.",racism
461,"@Amyloukingery Love it when these idiot national leaders claim that terrorism has nothing to do with Islam, and  not one has read the Quran.",racism
462,"@gdwessel Question is, why don't the German criminal prosecutors announce an investigation into Islam's incitement to hatred? #Islam",racism
463,RT @MaxAbrahms: Islamic State members say they're following Islam while non-Muslims who don't even read up on religion insist they're not.,racism
464,@digvijaya_28 This guy spouted one lie after another and there is no response in this video.  Just typical lying Muslim propaganda.,racism
465,@digvijaya_28 This guy spouted one lie after another and there is no response in this video.  Just typical lying Muslim propaganda. #Islam,racism
466,"RT @WalidShoebat: Muslim BIGOT wanted by INTERPOL and protected by U.S. Ally wants UN to Criminalize Criticism of Islam Internationally
htt…",racism
467,@WalidShoebat Most Muslims instinctively understand that Islam cannot survive in light of day and must be protected by blasphemy laws #Islam,racism
468,@hdmovieus Islam is terror.  To fight terror you have to fight Islam. Your prophet and your god are both sick terrorists. #Islam,racism
469,"@aquarellerivers Having read the Quran and Hadiths, I discovered that Islam is a murderous, bigoted, sexist, hate mongering cult.",racism
470,"Professor attacked on campus for telling truth about Islam, the religion that cannot survive without killing speech. http://t.co/uKr78i0Kch",racism
471,@Raqqa_Sl The prophet of Islam made his living robbing caravans.  So of course ISIS will make money stealing if they can.,racism
472,@Zahoorgorsi What the Americans did in Iraq was allow the Iraqis to elect their leadership.  Sunnis and Shia killing each other is Islam.,racism
473,"@scamp_faridxx Actually, Islam is a fraudulent religion that was made up long after it was supposedly founded. http://t.co/fBhiH42B8M",racism
474,"@scamp_faridxx @cameIzzz The problem was not the communists atheism, but rather their totalitarianism, just like Islam.",racism
475,@scamp_faridxx And historians have actually made countless efforts to independently collaborate anything in Islam.  It's totally fabricated.,racism
476,@joedalton2015 @scamp_faridxx The reason that is newsworthy is because the Muslim contribution is so much more often destructive.,racism
477,@YallaSouriya The difference between the Daesh and the FSA is not that big.  The FSA are also Islamolunatics.,racism
478,RT @ThePoliticalHat: The next successor to the Saudi throne will be the son of a slave girl http://t.co/C1XmXLtLXQ http://t.co/WtDeBOE1HA,racism
479,"@BurcuCekmece Mullah Oktar is a liar and an Islamofanatic.  He hates the YPG for their secularism, so he makes up garbage about them",racism
480,RT @DorvalTony: @baykara7 Religion my ass. Death cult. http://t.co/ItGxKuUwBM,racism
481,"@aymannathem What is wrong with that, considering how the Sunni Arabs have been exterminating everyone else for 1400 years.",racism
482,One of the pedophile prophets big battles was the battle of the trench in Medina. ISIS are trying to imitate that trick with a Mosul trench.,racism
483,"@_Ibn_Latif @Colonel_Shami The prophet Mohammed used catapults on cities, killing women and children. So you just called him a coward.",racism
484,"@_Ibn_Latif @Colonel_Shami ISIS mortared Kobane, killing women and children, so you just called ISIS cowards.  LOL. Idiot!",racism
485,@_Ibn_Latif @Colonel_Shami Mohammed hid behind a trench in Medina when the Meccan army showed up.  So I guess he was a coward for that also.,racism
486,"RT @Greg389: Theresa May today pleaded with #Jews not to leave. Jews build wealth, Muslims take welfare. Simple economics. http://t.co/lvaN…",racism
487,"RT @PhxKen: SIR WINSTON CHURCHHILL: ""ISLAM IS A DANGEROUS IN A MAN AS RABIES IN A DOG"" http://t.co/kCXgKD70SK",racism
488,"@ShariaIsJustice Yeap, Islam is for ignorant butts.",racism
489,Two good books that document the depravity of Islam. http://t.co/L4J2wWFMEx,racism
490,@drazmat22 Islam killed it.,racism
491,@anjemchoudary But Islam puts out the light and makes life too dark to bear.,racism
492,@Amjem Choudary tells the truth about Islam. Islam has no spirituality. It is only about forcing the world to obey. https://t.co/suZMc5AlEr,racism
493,@LifeInKhilafah The cancer of Islam pushes even babies to begin thinking about murdering their fellow human beings.,racism
494,"@LifeInKhilafah LOL. The ME was very creative before Islam.  Most ""Muslim"" discoveries came from conquered Persians.",racism
495,"@LifeInKhilafah And those few discoveries were made despite Islam, not because of it. Islam has contributed nothing to mankind in 1000 years",racism
496,"@LifeInKhilafah The prophet Mohammed was illiterate, superstitions, and knew nothing but war, theft and slave trading.",racism
497,@LifeInKhilafah What's to understand. The Daesh have passed a law that people cannot leave Raqqa or Mosul because they are sewers of terror.,racism
498,@LifeInKhilafah Salahuddin was a general who fought for Islamic slavery.  What does that have to do with Kurds fighting for freedom today?,racism
499,@LifeInKhilafah No the lies that I tell come directly from the Quran and Hadiths. Like declaration of war on humanity http://t.co/oC5Y5Cb740,racism
500,"@LifeInKhilafah For example, Muslims claim Algebra, but the Greeks and Indians were making good progress on Algebra before Mohammed was born",racism
501,@LifeInKhilafah The hatred against Jews and Christians and others was begun by Mohammed. http://t.co/FBflCFDLu8,racism
502,"@LifeInKhilafah What is there to teach? We both know that the Quran is a cult manual of hatred, imperialism, murder, sexism, and bigotry.",racism
503,@LifeInKhilafah You can't even imagine how I think because I cannot imagine how anyone would take such a vile religion as Islam.,racism
504,"@LifeInKhilafah Well, since Islam is full of hate and divisiveness, it does bring thugs who hate to Islam.",racism
505,@LifeInKhilafah Daesh price list for Yezidi and Christian sex slaves. http://t.co/H4ELrfxhSm,racism
506,@LifeInKhilafah Our poor live far better than the middle class of most Muslim countries.,racism
507,@LifeInKhilafah Sharia - taking injustice to new heights.  #Islam http://t.co/mnN6nnR8zL,racism
508,"@LifeInKhilafah You must have found it in your imagination, because it doesn't exist in Islam.",racism
509,"@LifeInKhilafah You are the one sitting in a black tent holding an AK, so don't talk to me about hate.",racism
510,@LifeInKhilafah You will see that loss of men and weapons accelerate land loss in the next few months. The Kurds are on the Mosul doorstep.,racism
511,@LifeInKhilafah You must be really young and ignorant if you think a few bombing runs are going to cause anyone to miss a meal. LOL.,racism
512,@LifeInKhilafah The people studying Islam all have the IQ of a camel.  A ten year old could figure out that this religion is evil by design.,racism
513,@LifeInKhilafah You are right. The violent murdering Muslims are the only ones who understand the meaning of their religion.,racism
514,"@ShamiAnalyst They can't read, write, do math, or produce anything. But they can kill people, so they are good Muslims. #Islam",racism
515,"@LifeInKhilafah Islam, on the other hand fights to take away people's freedom and force them to obey an imaginary terrorist god.",racism
516,@OmarShakir91 @EatingMyPeaz Hamaz never stopped it's war on Israel.  Islam never stopped it's war on humanity.,racism
517,RT @curdistani: ISIS intend turn war of Islamism into ethnic war of Pan Arabism&amp;Kurd in Mosul. As evidence show they are conducting Pan ara…,racism
518,RT @anglosaxonryder: #Lakemba Muslim protest was a complete failure. Aussies don't want Islam here. It doesn't suit our way of life. Just l…,racism
519,"@Jihadii8 @AkEl_Saruman No he's not.  He's an idiot.  He retweets things like ""nigger hunting licenses"" that never existed. He's a fraud.",racism
520,"@Habibiline @Jihadii8 Not to mention crushing poverty, endless violence, and legal forced marriage of 8 year old girls.",racism
521,@AbuYigitAlCahrz @LeonardoMaxwel1 Another barbaric aspect of Islam is to murder people for the way they were born.,racism
522,@AbuYigitAlCahrz @LeonardoMaxwel1 Could that be because Islam declared war on humanity 1400 years ago? http://t.co/xZjOzUQnZx,racism
523,"@france7776 Soon they will have to ask their uneducated, moronic Madrassa rats to do surgery.  A butcher knife and a prayer.",racism
524,"@cnni Nope.  With #democracy man makes all the laws by vote; with #Islam, Allah makes all the laws by the sword.  The two cannot coexist.",racism
525,@historyscoper The Jews of Europe should just come to the US. Then the Europeans can allow Islam to take them backwards.,racism
526,@98Halima @johnnygjokaj @cdnKhadija @BilalIGhumman @rfrankh53 The battles were won because Mohammed gave his thugs 80% of what they stole.,racism
527,RT @PeterTownsend7: #isis #muslim #Islamophobia? I think the word you're searching for is #Islamorealism  http://t.co/NyihT8Bqyu http://t.c…,racism
528,@BilalIGhumman @98Halima @johnnygjokaj @cdnKhadija @rfrankh53 In Islam all the facts are also foul. http://t.co/Dk8XQffRYF,racism
529,@BilalIGhumman @OdiniaInvictus @IsraeliRegime That old line of BS.  There are over 100 Islamic terrorist orgs. No other religion is close.,racism
530,#Islam is designed to be a crushing of the human spirit with laws that only provide one outlet - the brutalizing of non Muslims.,racism
531,"@BilalIGhumman @98Halima @johnnygjokaj @cdnKhadija @rfrankh53 Like I said,that is a stupid comment that seeks to hide the vileness of  Islam",racism
532,@BilalIGhumman @98Halima @johnnygjokaj @cdnKhadija @rfrankh53 A typical Muslim response is to excuse Muslim barbarity by pointing elsewhere.,racism
533,"@BilalIGhumman @98Halima @johnnygjokaj @cdnKhadija @rfrankh53 Honest and fair is that Islam is a religion of hate, murder,bigotry and sexism",racism
534,"@BilalIGhumman @OdiniaInvictus @IsraeliRegime That is why we are going secular, microbrain. And Islam is as disgusting as ever.",racism
535,@BilalIGhumman @98Halima @johnnygjokaj @cdnKhadija @rfrankh53 The stupidist arguments are the ones rationalizing the barbarity of Islam.,racism
536,"@98Halima @BilalIGhumman @johnnygjokaj @cdnKhadija @rfrankh53 The Quran was produced by a pedophile, slave trader, caravan robber, murderer.",racism
537,@98Halima @rfrankh53 @BilalIGhumman @johnnygjokaj @cdnKhadija If there was a Satan he would have invented Islam.,racism
538,@98Halima @BilalIGhumman @johnnygjokaj @cdnKhadija @rfrankh53 You like words. They all say Islam is vile. http://t.co/z7sHiL8BDG,racism
539,@98Halima @cdnKhadija @rfrankh53 @BilalIGhumman @johnnygjokaj If you had a brain it would be revolted by Islam.,racism
540,@cdnKhadija @rfrankh53 @98Halima @BilalIGhumman @johnnygjokaj You do understand that Mohammed was a sexist? http://t.co/LQAdLVAXCw,racism
541,@98Halima @johnnygjokaj @BilalIGhumman @cdnKhadija @rfrankh53 The Jews lived on 40% of Arabian peninsula before Mohammed began genocide.,racism
542,"@BilalIGhumman @johnnygjokaj @98Halima @cdnKhadija @rfrankh53 The Muslims attacked Europe 400 years before crusades, microbrain.",racism
543,@98Halima @cdnKhadija @BilalIGhumman @johnnygjokaj @rfrankh53 The logic of a retarded madrassa rat.,racism
544,@98Halima @johnnygjokaj @cdnKhadija @rfrankh53 Proof Mohammed was a pedophile. http://t.co/BZCt7Z9adC,racism
545,@johnnygjokaj @BilalIGhumman @98Halima @cdnKhadija @rfrankh53 There is nothing that ISIS does that the prophet Mohammed didn't also do.,racism
546,@98Halima @BilalIGhumman @johnnygjokaj @cdnKhadija @rfrankh53 ISIS has slavery because the prophet Mohammed was a slave owner and trader.,racism
547,@98Halima @cdnKhadija @rfrankh53 @BilalIGhumman @johnnygjokaj ISIS beheads people because Mohammed beheaded 600 Jews in one day.,racism
548,@98Halima @johnnygjokaj @cdnKhadija @rfrankh53 ISIS makes women cover and locks them up because that is what Mohammed did.,racism
549,@98Halima @rfrankh53 @BilalIGhumman @johnnygjokaj ISIS practices genocide because the prophet Mohammed practiced it.,racism
550,@98Halima @johnnygjokaj @BilalIGhumman @cdnKhadija @rfrankh53 ISIS wants to control the world because Mohammed wanted to control it.,racism
551,@98Halima @johnnygjokaj @BilalIGhumman @cdnKhadija @rfrankh53 I know that the scum Mohammed engraved hatred for Jews into Islam.,racism
552,@98Halima @johnnygjokaj @BilalIGhumman @cdnKhadija @rfrankh53 And Muslims never progress. They are still barbaric. http://t.co/mw2fGIvrkK,racism
553,@98Halima @johnnygjokaj @BilalIGhumman @cdnKhadija @rfrankh53 Nothing is more barbaric that the Muslims. http://t.co/oWdV64PDDT,racism
554,"@98Halima @johnnygjokaj @BilalIGhumman @cdnKhadija @rfrankh53 As tiny as Israel is, the Muslims want it exterminated. http://t.co/YbUDGXOlcO",racism
555,@cdnKhadija @johnnygjokaj @98Halima @BilalIGhumman @rfrankh53 Tell me something that ISIS does that Mohammed did not do.,racism
556,@98Halima @johnnygjokaj @BilalIGhumman @cdnKhadija @rfrankh53 Majority of Muslims are sexist and bigots. http://t.co/xjd8w98ITE,racism
557,"@98Halima @johnnygjokaj @rfrankh53 @BilalIGhumman @cdnKhadija No Muslim land has ever lived under anything but tyrants, dummy.",racism
558,@cdnKhadija @johnnygjokaj @BilalIGhumman @98Halima @rfrankh53 The term Islamophobe makes as much sense as Naziophobe.,racism
559,"@98Halima @BilalIGhumman @johnnygjokaj @cdnKhadija @rfrankh53 If you don't want to read a pedo, you have to stop reading the Quran.",racism
560,@cdnKhadija @johnnygjokaj @rfrankh53 @98Halima @BilalIGhumman Mohammed was murdering Jews before Zionism existed.,racism
561,@98Halima @rfrankh53 @BilalIGhumman @johnnygjokaj The little girls draw the highest price because of your pedophile prophet.,racism
562,@cdnKhadija @johnnygjokaj @BilalIGhumman @98Halima @rfrankh53 We don't make prophets out of pedophile priests. We get rid of them.,racism
563,@cdnKhadija @johnnygjokaj @BilalIGhumman @98Halima @rfrankh53 But at least half of Muslims are extremists. Again. http://t.co/Zkt4vi0Wq3,racism
564,@cdnKhadija @johnnygjokaj @BilalIGhumman @98Halima @rfrankh53 Raping children is what Mohammed did.,racism
565,@cdnKhadija @johnnygjokaj @BilalIGhumman @98Halima @rfrankh53 And the Quran sanctions raping slave girls.,racism
566,@warriorsialkot @BilalIGhumman @johnnygjokaj @98Halima @cdnKhadija There is nothing that ISIS does that prophet Mohammed did not also do.,racism
567,@anjemchoudary @JihadiA8 Sharia put the Muslim world 1000 years behind the rest of civilization and tortured minorities.,racism
568,"@JihadiA8 @Lisa_Marie74 Your prophet used catapults to attack cities, murdering women and children.  So what are you crying about?",racism
569,"@JihadiA8 @Lisa_Marie74 Islam declared war on all mankind 1400 years ago, now Muslims cry like babies when others respond in kind.",racism
570,@harun_yahya Yahya flips out about PKK being communists.  But that is clearly no longer true. Just propaganda.  http://t.co/UxQSWBGYPk,racism
571,RT @TRobinsonNewEra: If you harbour any doubts about what % Muslims believe sharia note this data 36%/310.5 million nontrivial http://t.co/…,racism
572,@AmandaSheils1 @Colonel_Shami The prophet Mohammed was a big murderer. He once beheaded 600 Jews in one day. ISIS does what he did.,racism
573,@ExposeFalsehood @arabthomness But this is a good lesson that you can't win in the 21st century with ignorant madrassa rats.,racism
574,@ExposeFalsehood @arabthomness Mohammed was illiterate and superstitious and Islam's backwardness is catching up to it's Jihadis.,racism
575,@Ib_Alkisai Islamic documentation is based on belief.  Historical documentation is based of factual research.,racism
576,@AmandaSheils1 @Colonel_Shami And we fought the Germans for their actions.  The first crusades were Muslims attacking Christiandom.,racism
577,@AmandaSheils1 @Colonel_Shami Polls show that the majority of Muslims are very primitive in their believes. http://t.co/Vp7v6zZsuO,racism
578,@AmandaSheils1 @Colonel_Shami You are pandering to a religion that declared war on all humanity 1400 years ago.,racism
579,"@OdiniaInvictus @SirajZarook @BilalIGhumman @IsraeliRegime No, Muslims follow a religion based on terrorism, not Jews.",racism
580,"@sajid_fairooz @IsraeliRegime Muslim declared war on humanity and their have been murdering men, women, and children for 1400 years.",racism
581,@ingyusarms My point is that there is nothing that ISIS does that Mohammed did not also do.  Both are sick and disgusting criminals.,racism
582,"@ingyusarms Everyone else does not follow a pedophile prophet who owned 27 slaves, robbed caravans, and raped women - only Muslims.",racism
583,@ingyusarms I've spent more time studying and thinking about religion than you've been alive.  I understand Islam perfectly.,racism
584,@ingyusarms There is actual spirituality in Buddhism and Tao.  There is zero spirituality in Islam.,racism
585,@ingyusarms Earthly tyrants want to be feared because for them fear is control and obedience.  The writer of the Quran was unsophisticated.,racism
586,@ingyusarms Earthly tyrants are also egotistical and want everyone to admire them and bow down to them. So the Quran writer imagined god.,racism
587,@ingyusarms The Quran writer imagined god as egotistical and as wanting to be worshiped and bowed to because he was unsophisticated.,racism
588,@ingyusarms God has zero need of our worship or admiration or obedience.  It does nothing for god.,racism
589,"@SirajZarook @BilalIGhumman @OdiniaInvictus @IsraeliRegime Buddhist teaching does not contain violence, hatred, or jihad. Islam does.",racism
590,@SirajZarook @BilalIGhumman @OdiniaInvictus @IsraeliRegime The problem with Islam is that it cannot be fixed and still be Islam.,racism
591,"@SirajZarook @BilalIGhumman @OdiniaInvictus @IsraeliRegime The Quran itself is the source of the hatred, murder, imperialism, sexism.",racism
592,@SirajZarook @BilalIGhumman @OdiniaInvictus @IsraeliRegime So the only way the problems of Islam can be fixed is to outlaw Islam.,racism
593,"@SirajZarook @BilalIGhumman @OdiniaInvictus @IsraeliRegime ....are not destructive and inhuman by design, like Islam.",racism
594,"@SirajZarook @BilalIGhumman @OdiniaInvictus @IsraeliRegime Jesus didn't murder, rape, rob, go to war or own slaves like Mohammed.",racism
595,"@SirajZarook @BilalIGhumman @OdiniaInvictus @IsraeliRegime He didn't discuss their wealth, he discussed Islam's barbarity.",racism
596,@OdiniaInvictus @SirajZarook @BilalIGhumman @IsraeliRegime The difference between Judism and Islam is no foundation in Jihad in Judaism.,racism
597,"@OdiniaInvictus @SirajZarook @BilalIGhumman @IsraeliRegime Judaism doesn't want to take over the world, like Islam.",racism
598,@SirajZarook @BilalIGhumman @OdiniaInvictus @IsraeliRegime Can't expect honesty from people who follow a caravan robber.,racism
599,@SirajZarook @OdiniaInvictus @BilalIGhumman @IsraeliRegime No the hatred was all started by Mohammed. http://t.co/Yyl4nn6LgN,racism
600,"@SirajZarook @OdiniaInvictus @BilalIGhumman @IsraeliRegime A good Muslim is good despite his bad religion, not because of it.",racism
601,@OdiniaInvictus @SirajZarook @BilalIGhumman @IsraeliRegime I know about Judaism.  I don't recommend it.  But most Jews are secular.,racism
602,"@SirajZarook Mo expelled two Jewish tribes from Medina and stole their property.  The third tribe he beheaded all the men, enslaved the rest",racism
603,"@SirajZarook @OdiniaInvictus @BilalIGhumman @IsraeliRegime Later he attacked the Jews of Khybar, killed many, stole their property.",racism
604,"@SirajZarook @OdiniaInvictus @BilalIGhumman @IsraeliRegime As a result of Muslim hatred, there are no Jews or Christians left in Saudi.",racism
605,"@SirajZarook @OdiniaInvictus @BilalIGhumman @IsraeliRegime Because of Muslim hatred there will soon be no Jews, Christians, Yezidis in ME.",racism
606,"@SirajZarook No, that is the excuse Mohammed used to rob and murder. He states his genocidal intention here. http://t.co/wWopuMN3xY",racism
607,"@SirajZarook And traitors are individuals, not tribes and their women and children. You make up lying excuses for barbarity like a Muslim.",racism
